,>35,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman
47321,1,2,1,1,13,10,Brazil,49860.0,33,1,1,0,0
47322,1,2,1,1,6,2,Canada,66372.0,24,1,1,0,0
47323,0,1,1,1,22,20,Netherlands,74651.0,17,1,1,0,0
47324,1,2,1,1,6,5,Netherlands,63984.0,26,1,1,0,0
47325,1,0,1,1,10,7,Canada,109318.0,19,1,1,0,0
47326,1,1,1,1,12,5,Mexico,9036.0,36,1,1,0,0
47327,1,4,1,1,11,11,France,31992.0,1,0,1,0,0
47328,1,2,1,1,19,11,United States of America,144000.0,20,1,1,0,0
47329,0,3,1,1,33,25,Austria,85315.0,6,0,1,0,0
47330,0,2,1,1,26,9,United States of America,70000.0,13,1,1,0,0
47331,1,2,1,1,11,5,Netherlands,44790.0,9,0,1,0,0
47332,1,2,1,1,8,7,United Kingdom of Great Britain and Northern Ireland,51261.0,19,1,1,0,0
47333,0,0,1,1,23,20,United States of America,140000.0,15,1,1,0,0
47334,0,2,1,1,26,16,United States of America,200000.0,35,1,1,0,0
47335,1,2,1,1,23,0,United States of America,78000.0,13,0,1,0,0
47336,1,2,1,1,4,4,Brazil,17448.0,24,1,1,0,0
47337,1,3,1,1,9,7,Brazil,99708.0,14,0,1,0,0
47338,1,3,1,1,10,3,United States of America,165000.0,17,1,1,0,0
47339,1,2,1,1,12,7,Canada,165538.0,15,1,1,0,0
47340,1,2,1,1,22,13,Netherlands,52188.0,13,1,1,0,0
47341,1,1,1,1,6,4,Brazil,10236.0,18,1,1,0,0
47342,0,2,1,0,30,15,United States of America,85000.0,9,1,1,0,0
47343,0,4,1,1,25,15,Germany,85315.0,11,0,1,0,0
47344,1,2,1,1,6,2,Pakistan,8676.0,23,1,1,0,0
47345,1,2,1,1,10,5,United States of America,200000.0,11,1,1,0,0
47346,1,2,1,1,15,11,Mexico,42144.0,8,0,1,0,0
47347,1,2,1,1,7,3,Austria,40956.0,13,0,1,0,0
47348,1,1,1,1,5,3,United States of America,48000.0,7,0,1,0,0
47349,1,0,1,1,7,6,United States of America,210000.0,17,1,1,0,0
47350,1,2,1,1,12,8,India,39981.0,33,1,1,0,0
47351,0,3,1,1,27,22,United States of America,156056.0,12,1,1,0,0
47352,1,2,0,1,11,10,Ukraine,121836.0,6,0,1,0,0
47353,0,3,1,1,6,3,United States of America,67000.0,13,0,1,0,0
47354,0,2,1,1,22,5,United States of America,44000.0,15,1,0,0,1
47355,1,3,1,1,20,14,Czech Republic,60276.0,16,1,1,0,0
47356,0,1,1,1,28,17,United States of America,180000.0,10,1,1,0,0
