,>35,EdLevel,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed
6884,1,2,1,13,10,44172.0,14,1
55086,0,1,1,28,25,49308.0,20,1
26109,0,1,1,23,14,76000.0,10,0
17280,0,1,1,25,17,90758.0,4,0
48372,1,2,1,3,1,9780.0,17,1
67928,0,3,1,22,22,92002.0,20,1
3565,0,3,1,50,36,160000.0,16,1
27475,0,2,1,7,5,70000.0,12,1
27631,0,2,1,5,3,70000.0,14,0
32718,1,2,1,10,8,16488.0,20,1
46580,1,4,0,10,8,36700.0,1,0
22814,1,2,1,9,2,105000.0,9,0
33768,1,4,0,8,6,63778.0,7,0
18256,1,2,1,3,2,17100.0,16,1
47671,0,2,1,45,27,58654.0,14,1
60245,1,2,1,10,4,52769.0,6,1
59564,0,1,1,30,20,127972.0,4,0
45478,1,2,1,4,2,4788.0,17,1
2828,0,2,1,24,14,39996.0,11,0
32424,0,2,1,20,9,56460.0,8,0
57308,1,3,1,14,9,93701.0,17,1
37081,1,3,1,13,5,38976.0,6,0
66456,0,3,1,20,17,116760.0,10,0
21738,0,3,1,30,20,85433.0,8,0
9694,1,1,1,10,3,38916.0,17,1
63154,1,3,1,6,6,40205.0,14,0
22607,1,2,1,5,3,56723.0,10,0
20711,1,3,1,18,12,75936.0,8,0
52233,0,2,1,38,25,29893.0,33,1
13667,1,1,1,16,9,36753.0,8,0
13070,0,1,1,22,20,108098.0,15,0
18512,1,2,1,8,5,18850.0,11,1
37570,1,2,1,7,5,28128.0,17,1
54807,0,2,1,16,14,120000.0,14,0
51874,1,2,1,5,1,5184.0,14,1
7638,1,0,1,8,4,115000.0,7,1
27524,1,3,1,10,7,124000.0,2,0
59005,1,2,1,12,3,67548.0,11,1
54690,0,3,0,35,32,190000.0,11,1
2314,1,3,1,20,12,77483.0,21,1
49233,1,2,1,8,2,35832.0,21,1
13352,1,2,1,2,1,4944.0,5,0
35549,1,2,1,8,4,8377.0,18,1
48994,1,2,1,12,9,52608.0,15,1
39842,1,0,1,15,10,54000.0,10,1
4352,1,1,1,9,2,75631.0,18,1
32630,1,3,1,7,5,129718.0,35,1
40685,0,2,1,20,10,117624.0,17,1
54310,1,1,1,5,4,86868.0,7,0
53135,0,0,1,11,6,75000.0,4,0
45166,1,1,1,2,1,28794.0,5,0
38173,1,2,1,7,3,65000.0,10,0
29201,1,2,1,26,8,49765.0,19,1
60537,0,2,1,19,16,53880.0,18,1
57042,0,4,1,17,9,75725.0,2,0
54591,1,0,1,2,0,72594.0,15,0
28341,1,2,1,13,5,31032.0,21,1
13602,0,3,1,38,20,89189.0,6,1
43292,1,3,1,9,5,70935.0,20,1
26481,0,2,1,17,14,62352.0,21,1
8542,0,2,1,25,14,28824.0,19,1
14822,1,1,1,15,11,74588.0,29,1
970,1,1,1,10,4,17868.0,14,1
55607,0,3,1,12,8,72000.0,16,0
25942,1,1,1,3,2,46320.0,19,1
41743,1,1,1,5,5,128904.0,16,0
15111,1,2,1,7,2,9732.0,15,1
52741,1,3,1,7,3,63600.0,14,0
43100,1,3,1,17,15,65436.0,6,1
24533,1,3,1,5,3,350.0,24,1
44030,1,2,1,15,10,27756.0,9,1
52667,1,2,1,2,1,60000.0,8,0
45216,1,2,1,8,5,36468.0,2,0
66545,0,2,1,40,30,207000.0,3,0
49179,1,2,1,5,5,57588.0,13,0
56759,1,2,1,20,16,74651.0,20,1
43432,0,2,1,26,24,60312.0,17,1
26614,1,2,1,4,3,10471.0,15,1
67158,0,0,1,20,20,41556.0,12,0
16729,1,3,0,8,4,76764.0,12,1
47811,0,1,1,40,27,132000.0,16,1
26087,1,2,1,6,5,221000.0,14,0
8711,1,1,1,11,8,113268.0,11,1
7907,1,2,1,5,3,9792.0,8,0
61321,1,2,1,17,4,96180.0,15,1
42050,1,2,1,5,2,74651.0,20,1
44039,1,3,1,14,4,74651.0,7,1
51991,0,3,1,20,20,143750.0,10,0
17205,1,2,1,22,14,120000.0,16,1
7299,1,2,1,9,3,24420.0,8,0
25982,0,2,1,38,25,90586.0,6,0
4642,1,2,0,15,8,130000.0,5,0
12156,0,2,1,16,11,19956.0,10,1
45222,1,3,1,13,4,57588.0,18,1
29880,1,2,1,9,4,18300.0,16,1
39891,0,4,0,12,8,46533.0,2,0
22632,1,1,1,5,0,15564.0,14,0
