,Age,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman,PCA1,PCA2,MDS1,MDS2
1602,1,3,1,1,6,2,India,2016.0,3,0,0,0,1,-10.7268409129087,-10.25350267957647,12.303099749925511,8.388700438187913
1603,0,2,1,1,20,15,Canada,140551.0,7,0,1,0,0,8.419071414756406,-6.654944562412312,-7.486732924441836,7.512189567825085
1604,1,3,1,1,4,3,France,48644.0,6,0,0,0,1,-11.586638105414272,-7.225582373891319,12.846267041285023,5.293095442050351
1605,0,1,1,1,40,36,United Kingdom of Great Britain and Northern Ireland,54288.0,12,1,1,0,0,37.2729240501997,-2.2531670518262867,-37.14093577990602,6.659582454413722
1606,1,2,1,1,10,2,India,16766.0,33,1,1,0,0,-6.978347726240244,19.662235655149416,4.190700973912188,-20.724564367524703
1607,0,1,1,1,24,18,United States of America,105000.0,11,1,1,0,0,13.49844862253893,-2.7632772879588656,-13.066008181015208,4.266311792275077
1608,1,2,1,1,3,1,Bangladesh,2124.0,12,0,1,0,0,-13.49531739542098,-1.1876983011982316,13.681423444074197,-0.9418872919620531
1609,0,2,0,1,33,20,Argentina,30300.0,13,0,1,0,0,21.790581324259367,-0.9576430400405223,-21.763368781844736,3.572510491834285
1610,1,3,0,1,6,4,Spain,41508.0,10,0,1,0,0,-9.318423919573709,-3.2751804745846402,9.897529800321612,1.728204123075316
1611,1,1,1,1,7,2,Bosnia and Herzegovina,14568.0,6,0,1,0,0,-9.88533822961883,-7.2734869512638705,10.956670653165517,5.639668764415695
1612,1,3,1,1,12,5,Canada,62018.0,4,0,1,0,0,-4.153911998408405,-9.3995476174688,5.553569282071565,8.674087336914459
1613,1,2,1,0,15,8,Indonesia,173880.0,22,1,1,0,0,0.4517553318011504,8.50836468554859,-1.6084080670118452,-8.549864179358549
1614,0,2,1,1,42,29,Israel,172188.0,11,0,1,0,0,34.40732983513786,-3.2209941819231314,-33.88894505673433,7.321022385410168
1615,1,2,1,1,7,6,Norway,77779.0,26,1,1,0,0,-6.94114414799386,12.681708880007045,5.2012565618928255,-13.766234579250838
1616,1,2,1,1,6,6,Armenia,50160.0,17,1,1,0,0,-7.911052612182678,3.70308671811419,7.54813130367341,-5.234625121257165
1617,1,2,1,1,14,8,United States of America,120000.0,17,0,1,0,0,-0.4337802877066342,3.528748717444251,-0.024151065273693467,-3.6914767030257383
1618,0,1,1,1,13,11,Spain,22701.0,11,1,1,0,0,0.5446969065074644,-2.4808445468679383,-0.23423644381999476,2.3918904266369654
1619,0,4,1,0,15,14,United States of America,58000.0,3,0,1,0,0,3.816427334489138,-10.547617123716536,-2.3219265427963314,11.279978580958655
1620,1,3,1,1,16,7,Finland,64860.0,11,0,1,0,0,0.36178083653830734,-2.4984765504761843,-0.08401527466957613,2.565304728042788
1621,1,3,1,1,18,9,Germany,74651.0,30,1,1,0,0,3.5792398408968484,16.438358907271798,-5.817778968997603,-16.052172629072757
1622,0,3,1,1,16,7,"Iran, Islamic Republic of...",28500.0,6,0,1,0,0,0.2539688958251429,-7.497357706922479,0.7989922529800978,7.57820426278099
1623,1,1,1,1,14,8,Serbia,132000.0,28,1,1,0,0,-0.19889940979466217,14.526165977714761,-1.7702276149937632,-14.52429415009995
1624,0,2,1,1,11,11,Egypt,17616.0,13,1,1,0,0,-0.9671031369857971,-0.4427342175131773,0.8284487243155716,0.04510283721886699
1625,1,2,1,1,15,13,India,104713.0,22,1,1,0,0,3.5940781517053018,8.458013662315977,-4.771686123968056,-8.242859662990242
